ID_producto	Descripcion
2018	CHAMPION
20187	CAFFARENA
20188	CAFFARENA
201890	FIDEO
2019	CUCHILO
201913	FIDEO
201918	ACRILEX
201919	ACRILEX
201920	ACRILEX
201937	FIDEO
201944	FIDEO
202	TEKA
2020	LACTOLANDA
202000	CAMPERA
202001	CAMPERA
202002	CAMPERA
202003	CAMPERA
202004	CAMPERA
202005	SWEATER
202006	SWEATER
202007	SWEATER
202008	SWEATER
202009	SWEATER
20201	CAFFARENA
202010	CAMPERA
202011	CAMPERA
202012	CAMPERA
202013	CAMPERA
202014	CAMPERA
202015	CAMPERA
202016	CAMPERA
202017	CAMPERA
202018	CAMPERA
202019	CAMPERA
20202	CAFFARENA
202020	CAMPERA
2020201	VALOR
2020202	VASKA
20202020	NESTLE
20202023	FONTANA
20202028	HALLOWEEN
20202029	HALLOWEEN
2020203	VALOR
20202033	PAULANER
20202034	PACK
20202035	DON
20202036	SENSEI
20202037	SENSEI
2020204	MAZZEI
202021	CAMPERA
202022	CAMPERA
202023	CAMPERA
202024	CAMPERA
202025	SNICKERS
202026	PASSATEMPO
202027	GALO
202028	GALO
202029	GALO
202030	NIVEA
202031	NIVEA
202032	LOBA
202040	AMOR
202041	AMOR
202042	AMOR
202043	AMOR
202044	AMOR
202045	AMOR
202046	AMOR
202047	AMOR
202048	AMOR
202049	AMOR
20205	LA
202050	MAESTRO
202051	AMOR
202052	AMOR
2020547	GLADE
2020548	GLADE
2020549	GLADE
2020550	GLADE
2020551	GLADE
202060	MOGUL
2020612	ESPATULA
202063	ARCOR
2020751	P&W
2020752	P&W
2021	LACTOLANDA
20210	7UP
202100	PANTALON
202101	PANTALON
202102	PANTALON
202103	KEPIS
202104	CHAQUETA
202105	CAMPERA
202106	CHAQUETA
202107	CHAQUETA
202108	SWEATER
202109	SWEATER
202110	SWEATER
202111	SWEATER
202112	SWEATER
202113	CHAQUETA
202114	CHAQUETA
202115	POLERON
202116	POLERON
202117	POLERON
202118	POLERON
202119	POLERON
20212	LA
202120	POLERON
202121	POLERON
202122	POLERON
202123	POLERON
202124	POLERON
202125	SWEATER
202126	SWEATER
202127	SWEATER
202128	SWEATER
202129	SWEATER
20213	TRIFIL
202130	CORPIÑO
202131	CORPIÑO
202132	CORPIÑO
202133	CORPIÑO
202134	CORPIÑO
202135	PANTALON
202136	PANTALON
202137	PANTALON
202138	MEDIA
202139	PANTY
20214	TRIFIL
